predict_date,predict_power_consumption
20161001,3266842
20161002,3237056
20161003,3366450
20161004,3567376
20161005,3637388
20161006,3688753
20161007,3660206
20161008,3767184
20161009,3622451
20161010,3807620
20161011,3826690
20161012,3836380
20161013,3849156
20161014,3816028
20161015,3771231
20161016,3742536
20161017,3879535
20161018,3876931
20161019,3884319
20161020,3898551
20161021,3867571
20161022,3890022
20161023,3713139
20161024,3956760
20161025,3938283
20161026,3939311
20161027,4002304
20161028,3896103
20161029,3803253
20161030,3637320
20161031,3742017
