record_date,month_in_year,day_in_month,day_in_year,day_in_week,week_in_month,week_in_year,is_holiday,holiday_before,holiday_after,day_in_holiday,is_adjust,is_special_holiday
2015-01-01,1,1,001,4,1,00,1,0,0,1,1,1
2015-01-02,1,2,002,5,1,00,1,0,0,2,1,1
2015-01-03,1,3,003,6,1,00,1,0,0,3,0,1
2015-01-04,1,4,004,7,1,01,0,6,1,0,1,0
2015-01-05,1,5,005,1,2,01,0,5,2,0,0,0
2015-01-06,1,6,006,2,2,01,0,4,3,0,0,0
2015-01-07,1,7,007,3,2,01,0,3,4,0,0,0
2015-01-08,1,8,008,4,2,01,0,2,5,0,0,0
2015-01-09,1,9,009,5,2,01,0,1,6,0,0,0
2015-01-10,1,10,010,6,2,01,1,0,0,1,0,0
2015-01-11,1,11,011,7,2,02,1,0,0,2,0,0
2015-01-12,1,12,012,1,3,02,0,5,1,0,0,0
2015-01-13,1,13,013,2,3,02,0,4,2,0,0,0
2015-01-14,1,14,014,3,3,02,0,3,3,0,0,0
2015-01-15,1,15,015,4,3,02,0,2,4,0,0,0
2015-01-16,1,16,016,5,3,02,0,1,5,0,0,0
2015-01-17,1,17,017,6,3,02,1,0,0,1,0,0
2015-01-18,1,18,018,7,3,03,1,0,0,2,0,0
2015-01-19,1,19,019,1,4,03,0,5,1,0,0,0
2015-01-20,1,20,020,2,4,03,0,4,2,0,0,0
2015-01-21,1,21,021,3,4,03,0,3,3,0,0,0
2015-01-22,1,22,022,4,4,03,0,2,4,0,0,0
2015-01-23,1,23,023,5,4,03,0,1,5,0,0,0
2015-01-24,1,24,024,6,4,03,1,0,0,1,0,0
2015-01-25,1,25,025,7,4,04,1,0,0,2,0,0
2015-01-26,1,26,026,1,5,04,0,5,1,0,0,0
2015-01-27,1,27,027,2,5,04,0,4,2,0,0,0
2015-01-28,1,28,028,3,5,04,0,3,3,0,0,0
2015-01-29,1,29,029,4,5,04,0,2,4,0,0,0
2015-01-30,1,30,030,5,5,04,0,1,5,0,0,0
2015-01-31,1,31,031,6,5,04,1,0,0,1,0,0
2015-02-01,2,1,032,7,1,05,1,0,0,2,0,0
2015-02-02,2,2,033,1,2,05,0,5,1,0,0,0
2015-02-03,2,3,034,2,2,05,0,4,2,0,0,0
2015-02-04,2,4,035,3,2,05,0,3,3,0,0,0
2015-02-05,2,5,036,4,2,05,0,2,4,0,0,0
2015-02-06,2,6,037,5,2,05,0,1,5,0,0,0
2015-02-07,2,7,038,6,2,05,1,0,0,1,0,0
2015-02-08,2,8,039,7,2,06,1,0,0,2,0,0
2015-02-09,2,9,040,1,3,06,0,5,1,0,0,0
2015-02-10,2,10,041,2,3,06,0,4,2,0,0,0
2015-02-11,2,11,042,3,3,06,0,3,3,0,0,0
2015-02-12,2,12,043,4,3,06,0,2,4,0,0,0
2015-02-13,2,13,044,5,3,06,0,1,5,0,0,0
2015-02-14,2,14,045,6,3,06,1,0,0,1,0,0
2015-02-15,2,15,046,7,3,07,0,3,1,0,1,0
2015-02-16,2,16,047,1,4,07,0,2,2,0,0,0
2015-02-17,2,17,048,2,4,07,0,1,3,0,0,0
2015-02-18,2,18,049,3,4,07,1,0,0,1,1,1
2015-02-19,2,19,050,4,4,07,1,0,0,2,1,1
2015-02-20,2,20,051,5,4,07,1,0,0,3,1,1
2015-02-21,2,21,052,6,4,07,1,0,0,4,0,1
2015-02-22,2,22,053,7,4,08,1,0,0,5,0,1
2015-02-23,2,23,054,1,5,08,1,0,0,6,1,1
2015-02-24,2,24,055,2,5,08,1,0,0,7,1,1
2015-02-25,2,25,056,3,5,08,0,4,1,0,0,0
2015-02-26,2,26,057,4,5,08,0,3,2,0,0,0
2015-02-27,2,27,058,5,5,08,0,2,3,0,0,0
2015-02-28,2,28,059,6,5,08,0,1,4,0,1,0
2015-03-01,3,1,060,7,1,09,1,0,0,1,0,0
2015-03-02,3,2,061,1,2,09,0,5,1,0,0,0
2015-03-03,3,3,062,2,2,09,0,4,2,0,0,0
2015-03-04,3,4,063,3,2,09,0,3,3,0,0,0
2015-03-05,3,5,064,4,2,09,0,2,4,0,0,0
2015-03-06,3,6,065,5,2,09,0,1,5,0,0,0
2015-03-07,3,7,066,6,2,09,1,0,0,1,0,0
2015-03-08,3,8,067,7,2,10,1,0,0,2,0,0
2015-03-09,3,9,068,1,3,10,0,5,1,0,0,0
2015-03-10,3,10,069,2,3,10,0,4,2,0,0,0
2015-03-11,3,11,070,3,3,10,0,3,3,0,0,0
2015-03-12,3,12,071,4,3,10,0,2,4,0,0,0
2015-03-13,3,13,072,5,3,10,0,1,5,0,0,0
2015-03-14,3,14,073,6,3,10,1,0,0,1,0,0
2015-03-15,3,15,074,7,3,11,1,0,0,2,0,0
2015-03-16,3,16,075,1,4,11,0,5,1,0,0,0
2015-03-17,3,17,076,2,4,11,0,4,2,0,0,0
2015-03-18,3,18,077,3,4,11,0,3,3,0,0,0
2015-03-19,3,19,078,4,4,11,0,2,4,0,0,0
2015-03-20,3,20,079,5,4,11,0,1,5,0,0,0
2015-03-21,3,21,080,6,4,11,1,0,0,1,0,0
2015-03-22,3,22,081,7,4,12,1,0,0,2,0,0
2015-03-23,3,23,082,1,5,12,0,5,1,0,0,0
2015-03-24,3,24,083,2,5,12,0,4,2,0,0,0
2015-03-25,3,25,084,3,5,12,0,3,3,0,0,0
2015-03-26,3,26,085,4,5,12,0,2,4,0,0,0
2015-03-27,3,27,086,5,5,12,0,1,5,0,0,0
2015-03-28,3,28,087,6,5,12,1,0,0,1,0,0
2015-03-29,3,29,088,7,5,13,1,0,0,2,0,0
2015-03-30,3,30,089,1,6,13,0,5,1,0,0,0
2015-03-31,3,31,090,2,6,13,0,4,2,0,0,0
2015-04-01,4,1,091,3,1,13,0,3,3,0,0,0
2015-04-02,4,2,092,4,1,13,0,2,4,0,0,0
2015-04-03,4,3,093,5,1,13,0,1,5,0,0,0
2015-04-04,4,4,094,6,1,13,1,0,0,1,0,1
2015-04-05,4,5,095,7,1,14,1,0,0,2,0,1
2015-04-06,4,6,096,1,2,14,1,0,0,3,1,1
2015-04-07,4,7,097,2,2,14,0,4,1,0,0,0
2015-04-08,4,8,098,3,2,14,0,3,2,0,0,0
2015-04-09,4,9,099,4,2,14,0,2,3,0,0,0
2015-04-10,4,10,100,5,2,14,0,1,4,0,0,0
2015-04-11,4,11,101,6,2,14,1,0,0,1,0,0
2015-04-12,4,12,102,7,2,15,1,0,0,2,0,0
2015-04-13,4,13,103,1,3,15,0,5,1,0,0,0
2015-04-14,4,14,104,2,3,15,0,4,2,0,0,0
2015-04-15,4,15,105,3,3,15,0,3,3,0,0,0
2015-04-16,4,16,106,4,3,15,0,2,4,0,0,0
2015-04-17,4,17,107,5,3,15,0,1,5,0,0,0
2015-04-18,4,18,108,6,3,15,1,0,0,1,0,0
2015-04-19,4,19,109,7,3,16,1,0,0,2,0,0
2015-04-20,4,20,110,1,4,16,0,5,1,0,0,0
2015-04-21,4,21,111,2,4,16,0,4,2,0,0,0
2015-04-22,4,22,112,3,4,16,0,3,3,0,0,0
2015-04-23,4,23,113,4,4,16,0,2,4,0,0,0
2015-04-24,4,24,114,5,4,16,0,1,5,0,0,0
2015-04-25,4,25,115,6,4,16,1,0,0,1,0,0
2015-04-26,4,26,116,7,4,17,1,0,0,2,0,0
2015-04-27,4,27,117,1,5,17,0,4,1,0,0,0
2015-04-28,4,28,118,2,5,17,0,3,2,0,0,0
2015-04-29,4,29,119,3,5,17,0,2,3,0,0,0
2015-04-30,4,30,120,4,5,17,0,1,4,0,0,0
2015-05-01,5,1,121,5,1,17,1,0,0,1,1,1
2015-05-02,5,2,122,6,1,17,1,0,0,2,0,1
2015-05-03,5,3,123,7,1,18,1,0,0,3,0,1
2015-05-04,5,4,124,1,2,18,0,5,1,0,0,0
2015-05-05,5,5,125,2,2,18,0,4,2,0,0,0
2015-05-06,5,6,126,3,2,18,0,3,3,0,0,0
2015-05-07,5,7,127,4,2,18,0,2,4,0,0,0
2015-05-08,5,8,128,5,2,18,0,1,5,0,0,0
2015-05-09,5,9,129,6,2,18,1,0,0,1,0,0
2015-05-10,5,10,130,7,2,19,1,0,0,2,0,0
2015-05-11,5,11,131,1,3,19,0,5,1,0,0,0
2015-05-12,5,12,132,2,3,19,0,4,2,0,0,0
2015-05-13,5,13,133,3,3,19,0,3,3,0,0,0
2015-05-14,5,14,134,4,3,19,0,2,4,0,0,0
2015-05-15,5,15,135,5,3,19,0,1,5,0,0,0
2015-05-16,5,16,136,6,3,19,1,0,0,1,0,0
2015-05-17,5,17,137,7,3,20,1,0,0,2,0,0
2015-05-18,5,18,138,1,4,20,0,5,1,0,0,0
2015-05-19,5,19,139,2,4,20,0,4,2,0,0,0
2015-05-20,5,20,140,3,4,20,0,3,3,0,0,0
2015-05-21,5,21,141,4,4,20,0,2,4,0,0,0
2015-05-22,5,22,142,5,4,20,0,1,5,0,0,0
2015-05-23,5,23,143,6,4,20,1,0,0,1,0,0
2015-05-24,5,24,144,7,4,21,1,0,0,2,0,0
2015-05-25,5,25,145,1,5,21,0,5,1,0,0,0
2015-05-26,5,26,146,2,5,21,0,4,2,0,0,0
2015-05-27,5,27,147,3,5,21,0,3,3,0,0,0
2015-05-28,5,28,148,4,5,21,0,2,4,0,0,0
2015-05-29,5,29,149,5,5,21,0,1,5,0,0,0
2015-05-30,5,30,150,6,5,21,1,0,0,1,0,0
2015-05-31,5,31,151,7,5,22,1,0,0,2,0,0
2015-06-01,6,1,152,1,1,22,0,5,1,0,0,0
2015-06-02,6,2,153,2,1,22,0,4,2,0,0,0
2015-06-03,6,3,154,3,1,22,0,3,3,0,0,0
2015-06-04,6,4,155,4,1,22,0,2,4,0,0,0
2015-06-05,6,5,156,5,1,22,0,1,5,0,0,0
2015-06-06,6,6,157,6,1,22,1,0,0,1,0,0
2015-06-07,6,7,158,7,1,23,1,0,0,2,0,0
2015-06-08,6,8,159,1,2,23,0,5,1,0,0,0
2015-06-09,6,9,160,2,2,23,0,4,2,0,0,0
2015-06-10,6,10,161,3,2,23,0,3,3,0,0,0
2015-06-11,6,11,162,4,2,23,0,2,4,0,0,0
2015-06-12,6,12,163,5,2,23,0,1,5,0,0,0
2015-06-13,6,13,164,6,2,23,1,0,0,1,0,0
2015-06-14,6,14,165,7,2,24,1,0,0,2,0,0
2015-06-15,6,15,166,1,3,24,0,5,1,0,0,0
2015-06-16,6,16,167,2,3,24,0,4,2,0,0,0
2015-06-17,6,17,168,3,3,24,0,3,3,0,0,0
