日期,最高气温,最低气温,天气,风向,风力
2015-01-01星期四,5℃,-4℃,晴,西北风~西风,微风
2015-01-02星期五,9℃,-2℃,晴~多云,西南风~东风,微风
2015-01-03星期六,13℃,2℃,多云,南风~东风,微风
2015-01-04星期日,16℃,1℃,晴,东南风,3-4级
2015-01-05星期一,14℃,5℃,阴~小雨,东南风~北风,3-4级~4-5级
2015-01-06星期二,7℃,-1℃,小雨~雨夹雪,北风,3-4级
2015-01-07星期三,7℃,-3℃,多云~晴,北风~西北风,微风
2015-01-08星期四,8℃,-2℃,晴~多云,西北风,微风
2015-01-09星期五,12℃,0℃,多云,西南风,微风
2015-01-10星期六,14℃,1℃,多云~晴,西南风~西风,微风
2015-01-11星期日,14℃,0℃,晴,东北风,微风
2015-01-12星期一,8℃,1℃,多云~阴,东风,微风
2015-01-13星期二,7℃,4℃,小雨,东风~东北风,微风
2015-01-14星期三,8℃,4℃,阴~多云,北风~西北风,3-4级~微风
2015-01-15星期四,9℃,3℃,多云,北风,微风
2015-01-16星期五,9℃,-1℃,多云~晴,北风,微风
2015-01-17星期六,6℃,-2℃,晴~多云,东北风~东风,微风
2015-01-18星期日,8℃,0℃,多云,东南风~西南风,微风
2015-01-19星期一,11℃,0℃,晴~多云,西风~东南风,微风
2015-01-20星期二,11℃,3℃,阴,东南风~南风,微风
2015-01-21星期三,12℃,0℃,多云,北风,3-4级~微风
2015-01-22星期四,6℃,-2℃,多云~晴,西北风,3-4级~微风
2015-01-23星期五,11℃,-1℃,多云,东南风~东风,微风
2015-01-24星期六,15℃,3℃,多云~阴,东风,3-4级
2015-01-25星期日,11℃,6℃,小雨,西风~东北风,微风
2015-01-26星期一,9℃,3℃,阴,北风,3-4级~4-5级
2015-01-27星期二,6℃,0℃,雨夹雪,东北风,4-5级~3-4级
2015-01-28星期三,3℃,-1℃,小雪~大雪,东风~东北风,3-4级
2015-01-29星期四,2℃,-1℃,中雪~小雪,东北风,微风
2015-01-30星期五,3℃,-2℃,阴~多云,北风~东北风,微风
2015-01-31星期六,5℃,-1℃,多云~阴,东北风,微风
2015-02-01星期日,4℃,0℃,阴,东北风~东风,微风
2015-02-02星期一,7℃,2℃,阴,东北风,微风
2015-02-03星期二,6℃,2℃,小雨~多云,北风,微风
2015-02-04星期三,6℃,-1℃,多云~晴,西北风,3-4级
2015-02-05星期四,8℃,-2℃,晴,北风~无持续风向,微风
2015-02-06星期五,9℃,-2℃,多云~晴,西南风~西风,3-4级
2015-02-07星期六,12℃,0℃,多云,西南风~北风,微风~4-5级
2015-02-08星期日,6℃,-4℃,晴,东北风~东风,3-4级~微风
2015-02-09星期一,6℃,-4℃,晴,东南风,微风
2015-02-10星期二,11℃,0℃,晴,南风,3级
2015-02-11星期三,15℃,2℃,晴~多云,西南风~西北风,微风
2015-02-12星期四,12℃,1℃,多云,西风~东风,微风
2015-02-13星期五,14℃,2℃,晴,东风~东南风,微风
2015-02-14星期六,19℃,5℃,多云~阵雨,东南风,微风
2015-02-15星期日,14℃,9℃,小雨~阴,东南风~西北风,微风
2015-02-16星期一,15℃,3℃,多云~晴,西北风~东北风,3-4级
2015-02-17星期二,14℃,3℃,晴,东北风,微风
2015-02-18星期三,12℃,0℃,晴,东北风,3-4级
2015-02-19星期四,11℃,2℃,多云~阴,东南风,3-4级
2015-02-20星期五,10℃,6℃,小雨~小到中雨,东南风~西北风,3-4级~微风
2015-02-21星期六,10℃,4℃,阴~多云,北风,3-4级
2015-02-22星期日,9℃,4℃,多云~小雨,西风~东风,3-4级
2015-02-23星期一,9℃,2℃,阴,东风~东南风,微风
2015-02-24星期二,12℃,6℃,多云~小雨,东南风,微风
2015-02-25星期三,11℃,6℃,小雨~阴,东风~北风,微风
2015-02-26星期四,10℃,4℃,阴~小雨,东北风,微风~3-4级
2015-02-27星期五,6℃,2℃,小到中雨~中雨,东风,4-5级
2015-02-28星期六,4℃,1℃,中雨~阴,东北风,4-5级~3-4级
2015-03-01星期日,10℃,2℃,多云~晴,西风,3-4级
2015-03-02星期一,13℃,4℃,多云~小雨,南风,3-4级
2015-03-03星期二,12℃,1℃,多云,西北风~东北风,4-5级~3-4级
2015-03-04星期三,6℃,1℃,多云~阴,东北风~东风,3-4级~微风
2015-03-05星期四,6℃,2℃,雨夹雪,东风,微风
2015-03-06星期五,8℃,2℃,多云,东风,微风
2015-03-07星期六,11℃,5℃,多云~阴,东南风,微风
2015-03-08星期日,10℃,5℃,小雨~阴,东风~北风,微风~4-5级
2015-03-09星期一,10℃,-1℃,多云,北风,4-5级~3-4级
2015-03-10星期二,7℃,-1℃,多云,东风~东南风,微风
2015-03-11星期三,12℃,2℃,多云,南风,微风
2015-03-12星期四,16℃,5℃,晴,南风~西南风,微风
2015-03-13星期五,20℃,7℃,多云,西风~东风,微风
2015-03-14星期六,12℃,8℃,小雨,东北风~东风,3-4级
2015-03-15星期日,14℃,9℃,阴~多云,东风,3-4级
2015-03-16星期一,15℃,9℃,多云~阴,东南风,微风
2015-03-17星期二,16℃,12℃,中雨~大雨,东南风~东风,微风
2015-03-18星期三,13℃,8℃,小雨,北风,微风
2015-03-19星期四,14℃,10℃,阴~小雨,东北风,微风
2015-03-20星期五,14℃,8℃,小雨~阴,东北风,3-4级
2015-03-21星期六,20℃,9℃,多云~晴,西风,3-4级
2015-03-22星期日,21℃,7℃,晴~多云,东风,3-4级
2015-03-23星期一,15℃,7℃,阴~多云,东风,3-4级
2015-03-24星期二,16℃,6℃,多云,东南风,3-4级
2015-03-25星期三,16℃,7℃,多云,东风,3-4级
2015-03-26星期四,15℃,8℃,阴~小雨,东风,微风
2015-03-27星期五,16℃,8℃,阵雨~多云,东风~东南风,3-4级
2015-03-28星期六,21℃,9℃,多云,西南风~西风,微风
2015-03-29星期日,23℃,14℃,多云~阴,东南风,微风
2015-03-30星期一,22℃,14℃,多云~阴,东南风,微风
2015-03-31星期二,26℃,18℃,多云,南风~东风,3-4级
2015-04-01星期三,17℃,13℃,阴,东风,4-5级
2015-04-02星期四,27℃,12℃,雷雨,南风~北风,4-5级~3-4级
2015-04-03星期五,15℃,9℃,阴~小雨,东北风~东风,微风
2015-04-04星期六,13℃,10℃,雷雨,东风,3-4级
2015-04-05星期日,13℃,9℃,中雨,东北风,3-4级
2015-04-06星期一,12℃,5℃,雷雨,东北风,4-5级
2015-04-07星期二,8℃,3℃,阵雨~阴,东北风,3-4级
2015-04-08星期三,13℃,4℃,多云,东北风~东风,3-4级
2015-04-09星期四,16℃,6℃,多云,东风,微风
2015-04-10星期五,17℃,7℃,晴,东风,微风
2015-04-11星期六,19℃,9℃,多云,东南风,微风
